"address","mtgroup","lat","long","mtlocation","wheelchair","mtday","mtstart","mtend","mttype","mtspin","mtzone"
"350 E 56TH ST New York, NY","CARLYLE","40.757654","-73.963834","Cathedral High School",false,"Wednesday","5:45 PM","6:45 PM","B","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Thursday","7:30 AM","8:30 AM","OD","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Monday","7:30 AM","8:30 AM","S","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Wednesday","7:30 AM","8:30 AM","OD","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Friday","7:45 AM","8:45 AM","B","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Monday","12:30 PM","1:30 PM","B","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Monday","12:30 PM","1:30 PM","S","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Tuesday","12:30 PM","1:30 PM","B","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Thursday","12:30 PM","1:30 PM","O","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Wednesday","12:30 PM","1:30 PM","B","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Wednesday","12:30 PM","1:30 PM","S","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Thursday","12:30 PM","1:30 PM","B","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Friday","12:30 PM","1:30 PM","B","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Friday","12:30 PM","1:30 PM","BB","null",5
"619 LEXINGTON AVE New York, NY","CITY GROUP","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ Citicorp Center",false,"Tuesday","12:30 PM","1:30 PM","S","null",5
"122 E 37TH ST New York, NY","COURAGE TO CHANGE","40.7483929","-73.9787906","",false,"Sunday","12:45 PM","1:45 PM","S","First Step Workshop",5
"122 E 37TH ST New York, NY","COURAGE TO CHANGE","40.7483929","-73.9787906","",false,"Sunday","6:15 PM","7:15 PM","B","null",5
"122 E 37TH ST New York, NY","COURAGE TO CHANGE","40.7483929","-73.9787906","",false,"Sunday","6:15 PM","7:15 PM","C","Promises",5
"122 E 37TH ST New York, NY","COURAGE TO CHANGE","40.7483929","-73.9787906","",false,"Monday","6:15 PM","7:15 PM","B","null",5
"122 E 37TH ST New York, NY","COURAGE TO CHANGE","40.7483929","-73.9787906","",false,"Tuesday","6:15 PM","7:15 PM","B","null",5
"122 E 37TH ST New York, NY","COURAGE TO CHANGE","40.7483929","-73.9787906","",false,"Tuesday","6:15 PM","7:15 PM","S","null",5
"122 E 37TH ST New York, NY","COURAGE TO CHANGE","40.7483929","-73.9787906","",false,"Wednesday","6:15 PM","7:15 PM","BB","null",5
"122 E 37TH ST New York, NY","COURAGE TO CHANGE","40.7483929","-73.9787906","",false,"Wednesday","6:15 PM","7:15 PM","C","null",5
"122 E 37TH ST New York, NY","COURAGE TO CHANGE","40.7483929","-73.9787906","",false,"Thursday","6:15 PM","7:15 PM","C","null",5
"122 E 37TH ST New York, NY","COURAGE TO CHANGE","40.7483929","-73.9787906","",false,"Friday","6:15 PM","7:15 PM","B","null",5
"122 E 37TH ST New York, NY","COURAGE TO CHANGE","40.7483929","-73.9787906","",false,"Friday","7:30 PM","8:30 PM","OD","null",5
"28 E 35TH ST New York, NY","EMPIRE STATE","40.748023","-73.9818371","J.H. Holmes Community House",false,"Monday","12:15 PM","1:15 PM","C","null",5
"28 E 35TH ST New York, NY","EMPIRE STATE","40.748023","-73.9818371","J.H. Holmes Community House",false,"Wednesday","12:15 PM","1:15 PM","S","null",5
"28 E 35TH ST New York, NY","EMPIRE STATE","40.748023","-73.9818371","J.H. Holmes Community House",false,"Friday","12:15 PM","1:15 PM","B","null",5
"350 E 56TH ST New York, NY","GOTHAM","40.757654","-73.963834","Cathedral High School",false,"Sunday","5:30 PM","6:30 PM","B","null",5
"350 E 56TH ST New York, NY","GOTHAM","40.757654","-73.963834","Cathedral High School",false,"Sunday","5:30 PM","6:30 PM","S","null",5
"350 E 56TH ST New York, NY","GOTHAM","40.757654","-73.963834","Cathedral High School",false,"Tuesday","5:45 PM","6:45 PM","OD","null",5
"283 LEXINGTON AVE New York, NY","GRAND CENTRAL","40.7479969","-73.9783809","Soldiers, Sailors, Marines &amp; Airmen''s Club",false,"Monday","5:30 PM","6:30 PM","B","null",5
"283 LEXINGTON AVE New York, NY","GRAND CENTRAL","40.7479969","-73.9783809","Soldiers, Sailors, Marines &amp; Airmen''s Club",false,"Tuesday","5:30 PM","6:30 PM","S","null",5
"283 LEXINGTON AVE New York, NY","GRAND CENTRAL","40.7479969","-73.9783809","Soldiers, Sailors, Marines &amp; Airmen''s Club",false,"Friday","5:30 PM","6:30 PM","C","First Step Workshop",5
"283 LEXINGTON AVE New York, NY","GRAND CENTRAL","40.7479969","-73.9783809","Soldiers, Sailors, Marines &amp; Airmen''s Club",false,"Wednesday","5:30 PM","6:30 PM","BB","null",5
"283 LEXINGTON AVE New York, NY","GRAND CENTRAL","40.7479969","-73.9783809","Soldiers, Sailors, Marines &amp; Airmen''s Club",false,"Thursday","5:30 PM","6:30 PM","OD","null",5
"122 E 37TH ST New York, NY","GRUPO BRASIL","40.7483929","-73.9787906","",false,"Wednesday","8:00 PM","9:00 PM","S","null",5
"122 E 37TH ST New York, NY","GRUPO BRASIL","40.7483929","-73.9787906","",false,"Friday","8:00 PM","9:00 PM","OD","null",5
"619 LEXINGTON AVE New York, NY","LIFE LINE","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ CitiCorp Center",true,"Monday","5:30 PM","6:30 PM","B","null",5
"619 LEXINGTON AVE New York, NY","LIFE LINE","40.7588016","-73.9704542","St. Peter''s Lutheran Church @ CitiCorp Center",true,"Friday","5:30 PM","6:30 PM","OD","null",5
"141 E 43RD ST New York, NY","LUNCH BUNCH","40.7518754","-73.9747248","Saint Agnes Church",true,"Monday","12:30 PM","1:30 PM","B","null",5
"141 E 43RD ST New York, NY","LUNCH BUNCH","40.7518754","-73.9747248","Saint Agnes Church",true,"Tuesday","12:30 PM","1:30 PM","C","null",5
"141 E 43RD ST New York, NY","LUNCH BUNCH","40.7518754","-73.9747248","Saint Agnes Church",true,"Wednesday","12:30 PM","1:30 PM","S","null",5
"141 E 43RD ST New York, NY","LUNCH BUNCH","40.7518754","-73.9747248","Saint Agnes Church",true,"Thursday","12:30 PM","1:30 PM","C","null",5
"141 E 43RD ST New York, NY","LUNCH BUNCH","40.7518754","-73.9747248","Saint Agnes Church",true,"Friday","12:30 PM","1:30 PM","B","null",5
"122 E 37TH ST New York, NY","LUNCHTIME EXPRESS AT THE MUSTARD SEED","40.7483929","-73.9787906","MUSTARD SEED",false,"Wednesday","12:30 PM","1:15 PM","O","null",5
"122 E 37TH ST New York, NY","MEDITATION SATURDAY NIGHT","40.7483929","-73.9787906","Mustard Seed",false,"Saturday","7:30 PM","8:30 PM","null","Eleventh Step Meditation",5
"141 E 43RD ST New York, NY","MONDAY MEN","40.7518754","-73.9747248","St. Agnes Church",false,"Monday","6:15 PM","7:15 PM","B","null",5
"141 E 43RD ST New York, NY","MONDAY MEN","40.7518754","-73.9747248","St. Agnes Church",false,"Thursday","6:15 PM","7:15 PM","S","null",5
"141 E 43RD ST New York, NY","MONDAY MEN","40.7518754","-73.9747248","St. Agnes Church",false,"Monday","7:15 PM","8:15 PM","C","null",5
"209 MADISON AVE New York, NY","MURRAY HILL","40.7486487","-73.9821254","Church of the Incarnation",false,"Monday","6:15 PM","7:15 PM","B","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Tuesday","6:15 AM","7:15 AM","BB","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Thursday","7:30 AM","8:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Wednesday","7:30 AM","8:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Thursday","7:30 AM","8:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Wednesday","7:30 AM","8:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Tuesday","7:30 AM","8:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Monday","7:30 AM","8:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Tuesday","7:30 AM","8:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Sunday","7:30 AM","8:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Monday","7:30 AM","8:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Friday","7:30 AM","8:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Thursday","7:30 AM","8:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Saturday","8:00 AM","9:00 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Saturday","8:00 AM","9:00 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Thursday","8:00 AM","9:00 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Sunday","8:15 AM","9:15 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Thursday","9:30 AM","10:30 AM","C","Daily Reflections",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Wednesday","9:30 AM","10:30 AM","C","Daily Reflections",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Tuesday","9:30 AM","10:30 AM","C","Daily Reflections",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Monday","9:30 AM","10:30 AM","C","Daily Reflections",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Sunday","9:30 AM","10:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Sunday","9:30 AM","10:30 AM","S","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Saturday","9:30 AM","10:30 AM","C","null",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Friday","9:30 AM","10:30 AM","C","Daily Reflections",5
"122 E 37TH ST New York, NY","MUSTARD SEED","40.7483929","-73.9787906","",false,"Saturday","10:00 AM","11:00 AM","BB","null",5
